name,rating,url
MEX maximizing,1600,https://codeforces.com/problemset/problem/1294/D
Character Blocking,1600,https://codeforces.com/problemset/problem/1840/E
Scrambled Scrabble,1700,https://codeforces.com/problemset/problem/2045/A
Mishkin Energizer,1800,https://codeforces.com/problemset/problem/2092/D
Hossam and Trainees,1600,https://codeforces.com/problemset/problem/1771/C
Caesar's Legions,1700,https://codeforces.com/problemset/problem/118/D
The Sports Festival,1800,https://codeforces.com/problemset/problem/1509/C
Grid-00100,1600,https://codeforces.com/problemset/problem/1371/D
Lonely Numbers,1600,https://codeforces.com/problemset/problem/1423/K
Save the Nature,1600,https://codeforces.com/problemset/problem/1223/C
Candy Party (Easy Version),1700,https://codeforces.com/problemset/problem/1868/B1
Code For 1,1600,https://codeforces.com/problemset/problem/768/B
Job Interview,1600,https://codeforces.com/problemset/problem/1976/C
Maximum Product Strikes Back,1600,https://codeforces.com/problemset/problem/1660/D
Word Cut,1700,https://codeforces.com/problemset/problem/176/B
Ehab and Prefix MEXs,1600,https://codeforces.com/problemset/problem/1364/C
Turtle and an Incomplete Sequence,1800,https://codeforces.com/problemset/problem/1981/C
Hamburgers,1600,https://codeforces.com/problemset/problem/371/C
Good Triples,1600,https://codeforces.com/problemset/problem/1907/E
Tree Cutting,1600,https://codeforces.com/problemset/problem/1946/C
Simple Permutation,1700,https://codeforces.com/problemset/problem/2089/A
Ones and Twos,1700,https://codeforces.com/problemset/problem/1896/D
Multihedgehog,1800,https://codeforces.com/problemset/problem/1068/E
Electrification,1600,https://codeforces.com/problemset/problem/1175/C
Divide Candies,1600,https://codeforces.com/problemset/problem/1056/B
Iris and Game on the Tree,1700,https://codeforces.com/problemset/problem/2007/D
Missing Subsequence Sum,1800,https://codeforces.com/problemset/problem/1966/D
Physical Education Lesson,1600,https://codeforces.com/problemset/problem/1928/C
One-Dimensional Battle Ships,1700,https://codeforces.com/problemset/problem/567/D
Mad City,1700,https://codeforces.com/problemset/problem/1873/H
Maze,1600,https://codeforces.com/problemset/problem/378/C
Nene's Magical Matrix,1600,https://codeforces.com/problemset/problem/1956/C
Gerrymandering,1800,https://codeforces.com/problemset/problem/2022/C
SlavicG's Favorite Problem,1700,https://codeforces.com/problemset/problem/1760/G
Playoff Tournament,1800,https://codeforces.com/problemset/problem/1535/D
Xor-Subsequence (easy version),1800,https://codeforces.com/problemset/problem/1720/D1
Remainders Game,1800,https://codeforces.com/problemset/problem/687/B
Selling a Menagerie,1800,https://codeforces.com/problemset/problem/1872/F
Find a Mine,1700,https://codeforces.com/problemset/problem/1934/C
Searching Local Minimum,1700,https://codeforces.com/problemset/problem/1479/A
Monoblock,1700,https://codeforces.com/problemset/problem/1715/C
Penchick and Desert Rabbit,1700,https://codeforces.com/problemset/problem/2031/D
Promising String (easy version),1700,https://codeforces.com/problemset/problem/1660/F1
Kosuke's Sloth,1800,https://codeforces.com/problemset/problem/2033/F
Math Division,1800,https://codeforces.com/problemset/problem/2082/C
XOR-pyramid,1800,https://codeforces.com/problemset/problem/983/B
Move Back at a Cost,1600,https://codeforces.com/problemset/problem/2047/D
Working out,1600,https://codeforces.com/problemset/problem/429/B
Decreasing String,1600,https://codeforces.com/problemset/problem/1886/C
Shohag Loves XOR (Hard Version),1800,https://codeforces.com/problemset/problem/2039/C2
Cells Arrangement,1600,https://codeforces.com/problemset/problem/1968/E
Candy Party (Easy Version),1700,https://codeforces.com/problemset/problem/1869/D1
Lisa and the Martians,1800,https://codeforces.com/problemset/problem/1851/F
Skipping,1700,https://codeforces.com/problemset/problem/2023/B
Meta-set,1700,https://codeforces.com/problemset/problem/1735/D
Quartet Swapping,1800,https://codeforces.com/problemset/problem/2101/B
Fight Against Traffic,1600,https://codeforces.com/problemset/problem/954/D
Spreadsheet,1600,https://codeforces.com/problemset/problem/1/B
Maximum Sum of Products,1600,https://codeforces.com/problemset/problem/1519/D
Maximum modulo equality,1700,https://codeforces.com/problemset/problem/2050/F
Packmen,1800,https://codeforces.com/problemset/problem/847/E
Floor or Ceil,1600,https://codeforces.com/problemset/problem/2082/B
Drunken Maze,1700,https://codeforces.com/problemset/problem/2041/D
Eat the Chip,1600,https://codeforces.com/problemset/problem/1921/E
Connecting Universities,1800,https://codeforces.com/problemset/problem/700/B
Distance in Tree,1800,https://codeforces.com/problemset/problem/161/D
Same Count One,1600,https://codeforces.com/problemset/problem/1774/D
Don't Blame Me,1700,https://codeforces.com/problemset/problem/1829/H
Recommendations,1700,https://codeforces.com/problemset/problem/1310/A
Round Dance,1600,https://codeforces.com/problemset/problem/1833/E
Korney Korneevich and XOR (easy version),1800,https://codeforces.com/problemset/problem/1582/F1
Enlarge GCD,1800,https://codeforces.com/problemset/problem/1034/A
Novice's Mistake,1700,https://codeforces.com/problemset/problem/1992/E
Little Elephant and Array,1800,https://codeforces.com/problemset/problem/220/B
Equal XOR Segments,1800,https://codeforces.com/problemset/problem/1968/F
Maximum Set,1600,https://codeforces.com/problemset/problem/1796/C
Yet Another Real Number Problem,1800,https://codeforces.com/problemset/problem/2035/D
Soldier and Number Game,1700,https://codeforces.com/problemset/problem/546/D
Another Problem About Dividing Numbers,1700,https://codeforces.com/problemset/problem/1538/D
Maximum Subsequence,1800,https://codeforces.com/problemset/problem/888/E
XOUR,1700,https://codeforces.com/problemset/problem/1971/G
Sorting By Multiplication,1800,https://codeforces.com/problemset/problem/1861/D
Infinite Sequence (Easy Version),1800,https://codeforces.com/problemset/problem/2071/D1
Hidden Permutations,1700,https://codeforces.com/problemset/problem/1621/C
Say No to Palindromes,1600,https://codeforces.com/problemset/problem/1555/D
Greenhouse Effect,1700,https://codeforces.com/problemset/problem/269/B
Shohag Loves GCD,1700,https://codeforces.com/problemset/problem/2039/D
Mixing Water,1700,https://codeforces.com/problemset/problem/1359/C
Short Task,1700,https://codeforces.com/problemset/problem/1512/G
Graph Without Long Directed Paths,1700,https://codeforces.com/problemset/problem/1144/F
Darius' Wisdom,1600,https://codeforces.com/problemset/problem/2034/D
Mathematical Problem,1700,https://codeforces.com/problemset/problem/1916/D
Iris and the Tree,1800,https://codeforces.com/problemset/problem/2006/B
Messenger in MAC,1800,https://codeforces.com/problemset/problem/1935/C
Swap Dilemma,1700,https://codeforces.com/problemset/problem/1983/D
Increasing Subsequences,1800,https://codeforces.com/problemset/problem/1922/E
Nezzar and Symmetric Array,1700,https://codeforces.com/problemset/problem/1478/C
How Does the Rook Move?,1600,https://codeforces.com/problemset/problem/1957/C
Aroma's Search,1700,https://codeforces.com/problemset/problem/1292/B
Buns,1700,https://codeforces.com/problemset/problem/106/C
Same GCDs,1800,https://codeforces.com/problemset/problem/1295/D
Ilya and Escalator,1700,https://codeforces.com/problemset/problem/518/D
Color with Occurrences,1600,https://codeforces.com/problemset/problem/1714/D
Flexible String,1600,https://codeforces.com/problemset/problem/1778/C
Exam in MAC,1800,https://codeforces.com/problemset/problem/1935/D
Reverse the Rivers,1600,https://codeforces.com/problemset/problem/2036/E
Hungry Games,1600,https://codeforces.com/problemset/problem/1994/C
Queries for the Array,1600,https://codeforces.com/problemset/problem/1861/C
Neutral Tonality,1700,https://codeforces.com/problemset/problem/1894/D
k-th equality,1700,https://codeforces.com/problemset/problem/1836/C
Colored Rectangles,1800,https://codeforces.com/problemset/problem/1398/D
Slime Escape,1800,https://codeforces.com/problemset/problem/1734/D
The Smallest String Concatenation,1700,https://codeforces.com/problemset/problem/632/C
Rudolf and Imbalance,1800,https://codeforces.com/problemset/problem/1941/F
Tree Pruning,1700,https://codeforces.com/problemset/problem/2018/C
Carousel,1800,https://codeforces.com/problemset/problem/1328/D
Correct Placement,1700,https://codeforces.com/problemset/problem/1472/E
Chopping Carrots (Easy Version),1700,https://codeforces.com/problemset/problem/1706/D1
Medium Design,1700,https://codeforces.com/problemset/problem/1884/C
Final Countdown,1600,https://codeforces.com/problemset/problem/1932/E
Alex's whims,1600,https://codeforces.com/problemset/problem/1899/F
Sleeping Schedule,1700,https://codeforces.com/problemset/problem/1324/E
Railway System,1700,https://codeforces.com/problemset/problem/1687/B
Epidemic in Monstropolis,1800,https://codeforces.com/problemset/problem/733/C
Competitive Fishing,1800,https://codeforces.com/problemset/problem/2042/C
Slimes,1800,https://codeforces.com/problemset/problem/1923/D
Unpleasant Strings,1700,https://codeforces.com/problemset/problem/2104/E
Sum of XOR Functions,1700,https://codeforces.com/problemset/problem/1879/D
Watering an Array,1600,https://codeforces.com/problemset/problem/1917/C
Problem about GCD,1800,https://codeforces.com/problemset/problem/2043/D
Equal Frequencies,1600,https://codeforces.com/problemset/problem/1781/C
Ordered Permutations,1600,https://codeforces.com/problemset/problem/2040/C
Road Reform,1800,https://codeforces.com/problemset/problem/1468/J
String Problem,1800,https://codeforces.com/problemset/problem/33/B
Rorororobot,1700,https://codeforces.com/problemset/problem/1709/D
Message Transmission Error (hard version),1700,https://codeforces.com/problemset/problem/2010/C2
Road Improvement,1800,https://codeforces.com/problemset/problem/638/C
Sakurako's Task,1800,https://codeforces.com/problemset/problem/2008/G
XK Segments,1700,https://codeforces.com/problemset/problem/895/B
Manhattan Subarrays,1700,https://codeforces.com/problemset/problem/1550/C
Ciel and Flowers,1600,https://codeforces.com/problemset/problem/322/B
Booking System,1600,https://codeforces.com/problemset/problem/416/C
Colorful Grid,1700,https://codeforces.com/problemset/problem/1898/C
Bicycles,1800,https://codeforces.com/problemset/problem/1915/G
Planar Reflections,1600,https://codeforces.com/problemset/problem/1498/C
Bitwise Operation Wizard,1700,https://codeforces.com/problemset/problem/1937/C
Parsa's Humongous Tree,1600,https://codeforces.com/problemset/problem/1528/A
Walk on Matrix,1700,https://codeforces.com/problemset/problem/1332/D
Math Division,1800,https://codeforces.com/problemset/problem/2081/A
Travel Card,1600,https://codeforces.com/problemset/problem/756/B
Zero-Sum Prefixes,1600,https://codeforces.com/problemset/problem/1748/C
Fixed Prefix Permutations,1700,https://codeforces.com/problemset/problem/1792/D
Chat Screenshots,1700,https://codeforces.com/problemset/problem/1931/F
Helping the Nature,1700,https://codeforces.com/problemset/problem/1700/C
Yet Another Minimization Problem,1800,https://codeforces.com/problemset/problem/1637/D
Connect the Dots,1800,https://codeforces.com/problemset/problem/2020/D
World is Mine,1800,https://codeforces.com/problemset/problem/1987/D
Up the Strip (simplified version),1700,https://codeforces.com/problemset/problem/1561/D1
Attribute Checks,1800,https://codeforces.com/problemset/problem/2025/D
Bessie's Birthday Cake (Hard Version),1700,https://codeforces.com/problemset/problem/1942/C2
String Transformation 1,1700,https://codeforces.com/problemset/problem/1383/A
Chocolate Bunny,1600,https://codeforces.com/problemset/problem/1407/C
Max GEQ Sum,1800,https://codeforces.com/problemset/problem/1691/D
Magnitude (Hard Version),1700,https://codeforces.com/problemset/problem/1984/C2
Almost Sorted,1800,https://codeforces.com/problemset/problem/1509/E
Balance the Bits,1600,https://codeforces.com/problemset/problem/1504/C
Binary Search,1700,https://codeforces.com/problemset/problem/1945/E
Matrix and Shifts,1600,https://codeforces.com/problemset/problem/1660/E
DZY Loves Physics,1600,https://codeforces.com/problemset/problem/445/C
Iris and Game on the Tree,1700,https://codeforces.com/problemset/problem/2006/A
Tourist's Notes,1600,https://codeforces.com/problemset/problem/538/C
Identify the Operations,1800,https://codeforces.com/problemset/problem/1442/B
Genokraken,1800,https://codeforces.com/problemset/problem/2032/D
Maximum And Queries (easy version),1700,https://codeforces.com/problemset/problem/1903/D1
Maximize the Largest Component (Easy Version),1700,https://codeforces.com/problemset/problem/1985/H1
Destroying Array,1600,https://codeforces.com/problemset/problem/722/C
Iris and the Tree,1800,https://codeforces.com/problemset/problem/2007/E
Trails (Easy),1800,https://codeforces.com/problemset/problem/1970/E1
Chain Reaction,1600,https://codeforces.com/problemset/problem/607/A
Magic Triples (Easy Version),1700,https://codeforces.com/problemset/problem/1822/G1
Scammy Game Ad,1800,https://codeforces.com/problemset/problem/2078/D
Yet Another Monster Fight,1700,https://codeforces.com/problemset/problem/1901/D
Magic Will Save the World,1800,https://codeforces.com/problemset/problem/1862/F
Tokitsukaze and Good 01-String (hard version),1800,https://codeforces.com/problemset/problem/1678/B2
Traps,1700,https://codeforces.com/problemset/problem/1684/D
Lucky Chains,1600,https://codeforces.com/problemset/problem/1766/D
Magic Five,1700,https://codeforces.com/problemset/problem/327/C
Too Many Segments (hard version),1800,https://codeforces.com/problemset/problem/1249/D2
Triangle Coloring,1600,https://codeforces.com/problemset/problem/1795/D
Erase and Extend (Easy Version),1600,https://codeforces.com/problemset/problem/1537/E1
"Goodbye, Banker Life",1700,https://codeforces.com/problemset/problem/2072/F
Prefix Purchase,1800,https://codeforces.com/problemset/problem/1870/D
Explorer Space,1800,https://codeforces.com/problemset/problem/1517/D
Tell Your World,1600,https://codeforces.com/problemset/problem/849/B
Sum over all Substrings (Easy Version),1800,https://codeforces.com/problemset/problem/1930/D1
Jellyfish and Mex,1600,https://codeforces.com/problemset/problem/1875/D
Colored Balls,1800,https://codeforces.com/problemset/problem/1954/D
The Number of Imposters,1700,https://codeforces.com/problemset/problem/1594/D
Parking Lot,1700,https://codeforces.com/problemset/problem/630/I
Almost Identity Permutations,1600,https://codeforces.com/problemset/problem/888/D
Count GCD,1800,https://codeforces.com/problemset/problem/1750/D
k-Tree,1600,https://codeforces.com/problemset/problem/431/C
Grid Puzzle,1800,https://codeforces.com/problemset/problem/1990/D
PermuTree (easy version),1800,https://codeforces.com/problemset/problem/1856/E1
Chef Monocarp,1800,https://codeforces.com/problemset/problem/1437/C
Deleting Divisors,1700,https://codeforces.com/problemset/problem/1537/D
Menorah,1600,https://codeforces.com/problemset/problem/1615/C
Meeting on the Line,1600,https://codeforces.com/problemset/problem/1730/B
Kostya the Sculptor,1600,https://codeforces.com/problemset/problem/733/D
PriceFixed,1600,https://codeforces.com/problemset/problem/1539/D
Monsters And Spells,1700,https://codeforces.com/problemset/problem/1626/C
Rudolf and Snowflakes (hard version),1800,https://codeforces.com/problemset/problem/1846/E2
